,Subject 1,Subject 2,Subject 3,Subject 4
S1_D1 760,0,0,0,1
S1_D1 850,0,0,0,1
S2_D2 760,0,0,0,1
S2_D2 850,0,0,0,1
S3_D1 760,0,0,0,1
S3_D1 850,0,0,0,1
S3_D2 760,0,0,0,0
S3_D2 850,0,0,0,0
S4_D3 760,1,1,0,1
S4_D3 850,1,1,0,1
S5_D4 760,0,1,0,1
S5_D4 850,0,1,0,1
S6_D3 760,1,1,0,1
S6_D3 850,1,1,0,1
S7_D4 760,1,1,0,1
S7_D4 850,1,1,0,1
S8_D3 760,1,1,0,1
S8_D3 850,1,1,0,1
S9_D4 760,1,1,1,1
S9_D4 850,1,1,1,1
S13_D3 760,0,0,0,0
S13_D3 850,0,0,0,0
S14_D4 760,0,1,0,0
S14_D4 850,0,1,0,0
S10_D1 760,0,0,0,0
S10_D1 850,0,0,0,0
S11_D2 760,0,0,0,1
S11_D2 850,0,0,0,1
S12_D1 760,0,0,0,1
S12_D1 850,0,0,0,1
S12_D2 760,0,0,0,1
S12_D2 850,0,0,0,1
